model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
LinearSVM Loss Check,"{'C': 0.25, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.25, ""loss"": ""squared_hinge""}",0.25,,0.827177186405261,0.8630088180279682,0.8837909331387394,0.8732762505633168,0.22739482108324108,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.5, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.5, ""loss"": ""hinge""}",0.5,,0.8265625960297461,0.8611801242236025,0.8852959956216364,0.8730715602932577,0.058080399766671086,,,,hinge
LinearSVM Loss Check,"{'C': 0.5, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.5, ""loss"": ""squared_hinge""}",0.5,,0.8273308339991395,0.8656769969054133,0.8803247286326735,0.8729394206634556,0.2874792646667629,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.75, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.75, ""loss"": ""hinge""}",0.75,,0.829266793682011,0.8652061395680886,0.8843838365410928,0.8746898822680319,0.23529406354985744,,,,hinge
LinearSVM Loss Check,"{'C': 0.75, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.75, ""loss"": ""squared_hinge""}",0.75,,0.8273308339991395,0.8668286318441535,0.8787284502417222,0.8727379792992549,0.30083632094998997,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.8, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.8, ""loss"": ""hinge""}",0.8,,0.829020957531805,0.8652232142857142,0.8839277570008209,0.8744754771465957,0.1959133706332068,,,,hinge
LinearSVM Loss Check,"{'C': 0.8, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.8, ""loss"": ""squared_hinge""}",0.8,,0.8273001044803638,0.8670207976951472,0.8784091945635318,0.8726778432260988,0.2859296010334219,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.9, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.9, ""loss"": ""hinge""}",0.9,,0.8285292852313932,0.8655841832170335,0.8825595183800055,0.8739894313716634,0.15411540121688935,,,,hinge
LinearSVM Loss Check,"{'C': 0.9, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.9, ""loss"": ""squared_hinge""}",0.9,,0.8270542683301579,0.867237494366832,0.877679467299097,0.8724272372835252,0.36064260073326293,,,,squared_hinge
LinearSVM Loss Check,"{'C': 1, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1, ""loss"": ""hinge""}",1.0,,0.8285292852313932,0.8659115329512894,0.8821034388397336,0.8739324928832859,0.14233139000013276,,,,hinge
LinearSVM Loss Check,"{'C': 1, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1, ""loss"": ""squared_hinge""}",1.0,,0.8262860303607645,0.8669884082810879,0.8766760923104989,0.8718053382316258,0.39167411536667107,,,,squared_hinge
LinearSVM Loss Check,"{'C': 1.1, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1.1, ""loss"": ""hinge""}",1.1,,0.8285907442689447,0.8661530191721913,0.8818753990695978,0.8739435028248588,0.30493437996677436,,,,hinge
LinearSVM Loss Check,"{'C': 1.1, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1.1, ""loss"": ""squared_hinge""}",1.1,,0.8254256038350439,0.8664230613073488,0.875946365046064,0.8711586873199828,0.33137713543352826,,,,squared_hinge
LinearSVM Loss Check,"{'C': 1.2, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1.2, ""loss"": ""hinge""}",1.2,,0.8284985557126175,0.8663319736429244,0.8814649274833531,0.8738329377190008,0.19693869793336488,,,,hinge
LinearSVM Loss Check,"{'C': 1.2, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1.2, ""loss"": ""squared_hinge""}",1.2,,0.8248417429783049,0.8663415515217195,0.8750342059655204,0.8706661826102741,0.37084734089997556,,,,squared_hinge
LinearSVM Loss Check,"{'C': 1.25, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1.25, ""loss"": ""hinge""}",1.25,,0.8283756376375147,0.8661110364296276,0.8815561433914074,0.8737653414099406,0.15401117733345018,,,,hinge
LinearSVM Loss Check,"{'C': 1.25, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1.25, ""loss"": ""squared_hinge""}",1.25,,0.8248724724970807,0.8664799674782059,0.8748973821034388,0.870668330874844,0.3807124561499222,,,,squared_hinge
LinearSVM Loss Check,"{'C': 1.5, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1.5, ""loss"": ""hinge""}",1.5,,0.8290516870505807,0.8667682790155556,0.8818297911155706,0.8742341690592996,0.18244619068330697,,,,hinge
LinearSVM Loss Check,"{'C': 1.5, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1.5, ""loss"": ""squared_hinge""}",1.5,,0.8241042345276873,0.865998012108069,0.8742132627930311,0.8700862460281434,0.3582810880000276,,,,squared_hinge
LinearSVM Loss Check,"{'C': 1.75, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 1.75, ""loss"": ""hinge""}",1.75,,0.8292053346444594,0.8672260612043435,0.8814649274833531,0.8742875237492084,0.38925797673340035,,,,hinge
LinearSVM Loss Check,"{'C': 1.75, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 1.75, ""loss"": ""squared_hinge""}",1.75,,0.823090160408088,0.8653681023184345,0.8733011037124875,0.8693165051188342,0.5128304480834535,,,,squared_hinge
LinearSVM Loss Check,"{'C': 2, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 2, ""loss"": ""hinge""}",2.0,,0.8284678261938418,0.8671488902866386,0.8802791206786463,0.8736646749954735,0.24896733953331326,,,,hinge
LinearSVM Loss Check,"{'C': 2, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 2, ""loss"": ""squared_hinge""}",2.0,,0.8228135947391064,0.8652472651658982,0.8729818480342972,0.8690973483472575,0.43703866918343315,,,,squared_hinge
