model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
Logistic Regression,"{'C': 2.75, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.75, ""l1_ratio"": 0.0}",2.75,0.0,0.8260709237293344,0.8614345391520754,0.8840645808629025,0.872602863059332,0.4187621045499933,,,,
Logistic Regression,"{'C': 2.75, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.75, ""l1_ratio"": 1.0}",2.75,1.0,0.8300043021326287,0.8688686886868868,0.8805983763568367,0.8746942103832563,0.9426668121500068,,,,
Logistic Regression,"{'C': 2.8, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.8, ""l1_ratio"": 0.0}",2.8,0.0,0.826224571323213,0.8616259945770547,0.8840645808629025,0.8727010782702654,0.3688483825666481,,,,
Logistic Regression,"{'C': 2.8, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.8, ""l1_ratio"": 1.0}",2.8,1.0,0.8297584659824228,0.8688214639416584,0.8802335127246191,0.8744902582691436,0.9496536716500488,,,,
Logistic Regression,"{'C': 2.85, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.85, ""l1_ratio"": 0.0}",2.85,0.0,0.8262860303607645,0.8617347619259325,0.8840189729088753,0.872734640581733,0.402355287650001,,,,
Logistic Regression,"{'C': 2.85, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.85, ""l1_ratio"": 1.0}",2.85,1.0,0.8296970069448713,0.8686768676867687,0.8803247286326735,0.8744620124133556,0.970241261616684,,,,
Logistic Regression,"{'C': 2.9, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.9, ""l1_ratio"": 0.0}",2.9,0.0,0.8265011369921947,0.8620030241038869,0.8840189729088753,0.8728721967035936,0.3621116212333314,,,,
Logistic Regression,"{'C': 2.9, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.9, ""l1_ratio"": 1.0}",2.9,1.0,0.8296662774260956,0.8685051059426875,0.8805071604487823,0.8744649530064545,0.8597138987333286,,,,
Logistic Regression,"{'C': 2.95, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.95, ""l1_ratio"": 0.0}",2.95,0.0,0.8263167598795403,0.8619017968333037,0.8838365410927665,0.8727313668092772,0.2938127045666381,,,,
Logistic Regression,"{'C': 2.95, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.95, ""l1_ratio"": 1.0}",2.95,1.0,0.8292053346444594,0.86801870671823,0.8803703365867007,0.8741508921293362,0.8708045165166671,,,,
Logistic Regression,"{'C': 3, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 3, ""l1_ratio"": 0.0}",3.0,0.0,0.8264089484358675,0.8620812385994572,0.8837453251847122,0.8727788662928181,0.306010308633328,,,,
Logistic Regression,"{'C': 3, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 3, ""l1_ratio"": 1.0}",3.0,1.0,0.8291131460881322,0.8681664791901013,0.8800054729544833,0.8740458879753573,0.8885017687499688,,,,
Logistic Regression,"{'C': 3.25, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 3.25, ""l1_ratio"": 0.0}",3.25,0.0,0.826808432179952,0.8626124120737245,0.8836997172306851,0.8730287465080653,0.3902259220666261,,,,
Logistic Regression,"{'C': 3.25, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 3.25, ""l1_ratio"": 1.0}",3.25,1.0,0.8287136623440476,0.8681556195965417,0.8793213536440755,0.8737028141568859,0.9121598852166548,,,,
Logistic Regression,"{'C': 3.5, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 3.5, ""l1_ratio"": 0.0}",3.5,0.0,0.8268391616987278,0.863006372833014,0.8831980297363861,0.8729854615124535,0.3627387198499491,,,,
Logistic Regression,"{'C': 3.5, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 3.5, ""l1_ratio"": 1.0}",3.5,1.0,0.828560014750169,0.8683581955022759,0.8787740581957494,0.8735350787713929,0.941768256699955,,,,
Logistic Regression,"{'C': 5, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 5, ""l1_ratio"": 0.0}",5.0,0.0,0.8270542683301579,0.8645106459116121,0.8814649274833531,0.8729054694909896,0.4554447526332902,,,,
Logistic Regression,"{'C': 5, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 5, ""l1_ratio"": 1.0}",5.0,1.0,0.8250875791285108,0.8667871667419792,0.8748517741494116,0.8708007989831124,0.9414393486499952,,,,
Logistic Regression,"{'C': 10, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 10, ""l1_ratio"": 0.0}",10.0,0.0,0.8248110134595292,0.8647870857502585,0.8771321718507707,0.8709158836182498,0.4793532095833749,,,,
Logistic Regression,"{'C': 10, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 10, ""l1_ratio"": 1.0}",10.0,1.0,0.8192182410423453,0.863968419619765,0.868421052631579,0.8661890139883999,1.1961093365166866,,,,
MultinomialNB,{'alpha': 0.0001},"MultinomialNB|{""alpha"": 0.0001}",,,0.7506299551349026,0.8082124525775497,0.8258688315242179,0.8169452527576639,0.0052403598500006,0.0001,,,
